repo,repo_url,stars,description,total_candidates,ai_confirmed_count,confirmed_diagram_files
amanchadha/coursera-machine-learning-engineering-for-prod-mlops-specialization,https://github.com/amanchadha/coursera-machine-learning-engineering-for-prod-mlops-specialization,495,Programming assignments and quizzes from all courses within the Machine Learning Engineering for Production (MLOps) specialization offered by deeplearning.ai,15,11,C2 - Machine Learning Data Lifecycle in Production/Week 2/img/feature_eng_pipeline.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 3/C4_W3_Lab_1_Intro_to_KFP/img/complete_pipeline.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 2/C4_W2_Lab_4_ETL_Beam/images/overview.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 2/C4_W2_Lab_2_Intro_to_Kubernetes/img/kubernetes.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 2/C4_W2_Lab_4_ETL_Beam/images/etl.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 2/C4_W2_Lab_4_ETL_Beam/images/predict.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 3/C4_W3_Lab_1_Intro_to_KFP/img/complete.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 3/C4_W3_Lab_1_Intro_to_KFP/img/dag_kfp.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 3/C4_W3_Lab_1_Intro_to_KFP/img/highlevel.jpg | C4 - Welcome to Deploying Machine Learning Models in Production/Week 3/C4_W3_Lab_1_Intro_to_KFP/img/logs.png | C4 - Welcome to Deploying Machine Learning Models in Production/Week 3/C4_W3_Lab_1_Intro_to_KFP/img/progress.png
olonok69/LLM_Notebooks,https://github.com/olonok69/LLM_Notebooks,138,"Notebooks and Code about Generative Ai, LLMs, MLOPS, NLP , CV  and Graph databases",15,11,mlflow/training_inference_document_classification/docs/images/general_arch.png | mlflow/training_inference_document_classification/docs/images/workflow.png | mlflow/training_inference_document_classification/general_arch.png | mlflow/training_inference_document_classification/custom_classifier.png | RAG/GraphRAG/Intro/pipeline.png | llms/training/image2.png | RAG/Extract_from_html/images/NIM.png | microsoft/promptflow/chat-with-pdf/assets/chat_with_pdf_simple.png | microsoft/promptflow/chat-with-pdf/assets/chat_with_pdf_with_rewrite.png | microsoft/promptflow/chat-with-pdf/assets/multi-node-flow-chat-with-pdf.png | microsoft/promptflow/chat-with-pdf/assets/single-node-flow.png
mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",15,10,docs/static/images/llms/dspy/dspy-integration-architecture.png | docs/static/images/llms/tracing/schema/feedback_architecture.png | docs/static/images/llms/tracing/schema/span_architecture.png | docs/static/images/llms/tracing/schema/trace_architecture.png | docs/static/images/deployment/mlflow-deployment-overview.png | docs/static/images/llms/llama-index/llama_index_workflow_graph.png | docs/static/images/llms/tracing/distributed-tracing-flow.png | docs/static/images/self-hosting/gcp-deployment-arch.png | docs/static/images/llms/tracing/n8n/workflow-example.png | docs/static/images/model_migration_workflow.svg
tensorflow/tfx,https://github.com/tensorflow/tfx,2184, TFX is an end-to-end platform for deploying production ML pipelines,10,10,docs/guide/images/data-preprocessing-for-ml-with-tf-transform-ml-training-serving-architecture.svg | tfx/examples/airflow_workshop/taxi/notebooks/img/analysing-pipeline-2.png | tfx/examples/airflow_workshop/taxi/notebooks/img/analysing-pipeline-3.png | tfx/examples/airflow_workshop/taxi/notebooks/img/analysing-pipeline-4.png | tfx/examples/airflow_workshop/taxi/notebooks/img/analysing-pipeline-5.png | tfx/examples/airflow_workshop/taxi/notebooks/img/analysing-pipeline-6.png | docs/guide/images/data-preprocessing-for-ml-with-tf-transform-streaming-data-with-dataflow-architecture.svg | tfx/examples/airflow_workshop/taxi/notebooks/img/examplegen1.png | tfx/examples/airflow_workshop/taxi/notebooks/img/examplegen2.png | tfx/examples/chicago_taxi_pipeline/chicago_taxi_pipeline_simple.png
NVIDIA/TensorRT,https://github.com/NVIDIA/TensorRT,12988,NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.,15,10,tools/experimental/trt-engine-explorer/images/trex-overview.png | tools/tensorflow-quantization/docs/source/docs/assets/inherit_from_non_weighted.png | tools/tensorflow-quantization/docs/source/docs/assets/inherit_from_weighted.png | tools/tensorflow-quantization/docs/source/docs/assets/special_qdq_customqdqcase.png | tools/tensorflow-quantization/docs/source/docs/assets/special_qdq_default.png | tools/tensorflow-quantization/docs/source/docs/assets/special_qdq_qspec.png | tools/onnx-graphsurgeon/examples/resources/03_model.onnx.png | tools/onnx-graphsurgeon/examples/resources/04_model.onnx.png | tools/onnx-graphsurgeon/examples/resources/05_model.onnx.png | tools/onnx-graphsurgeon/examples/resources/07_model.onnx.png
SeldonIO/alibi-detect,https://github.com/SeldonIO/alibi-detect,2515,"Algorithms for outlier, adversarial and drift detection",10,10,doc/source/cd/images/drift_deployment.png | doc/source/cd/images/drift_pipeline.png | docs-gb/.gitbook/assets/drift_deployment (1).png | docs-gb/.gitbook/assets/drift_deployment.png | docs-gb/images/drift_deployment.png | docs-gb/images/drift_pipeline.png | docs-gb/images/deploy_diagram.png | doc/source/cd/images/graph_embedding.png | doc/source/examples/image/deploy_diagram.png | docs-gb/images/graph_embedding.png
aws/amazon-sagemaker-examples,https://github.com/aws/amazon-sagemaker-examples,10926,"Example 📓 Jupyter notebooks that demonstrate how to build, train, and deploy machine learning models using 🧠 Amazon SageMaker. ",15,10,   ml_ops/sm-pipelines_launching_autopilot_with_auto_ml_step/architecture_diagram.png |  archived/geospatial/geospatial-pipelines/images/pipeline_architecture.png |  archived/inference_pipeline_custom_containers/Inference_diagram.png |  archived/machine_learning_workflow_abalone/img/e2e_pipeline.png |  archived/nlp_mlops_company_sentiment/images/pipeline.png |  archived/nlp_mlops_company_sentiment/images/pipeline_execution_graph.png |  archived/sagemaker-pipeline-compare-model-versions/images/high-level-train.png |  archived/sagemaker-pipeline-compare-model-versions/images/high-level.png |  archived/byoc-nginx-python/images/serial-inference-pipeline.png |  archived/end_to_end_music_recommendation/images/music-rec-2c-all-mlops.png
SkafteNicki/dtu_mlops,https://github.com/SkafteNicki/dtu_mlops,791,Exercises and supplementary material for the machine learning operations course at DTU.,15,10,figures/diagrams/mlops_overview.drawio | figures/docker_architecture.png | figures/mlops_overview.drawio.png | figures/deployment_diagram.PNG | figures/components_of_kubernetes.png | figures/diagrams/system_difference.drawio | figures/mlops-loop-en.jpg | figures/mlops_cycle.jpg | figures/mlops_cycle.png | figures/model_registry.png
GoogleCloudPlatform/mlops-on-gcp,https://github.com/GoogleCloudPlatform/mlops-on-gcp,838,,15,9,model_serving/caip-load-testing/architecture.png | model_serving/caip-triton/direct-server/img/caip_triton_container_diagram_direct.jpg | images/mlops-composer-mlflow-mlflow-connections.png | images/mlops-composer-mlflow.png | images/mlops-env.png | images/template-workflow.png | images/Tuner_Overview.png | immersion/docker_and_kubernetes/assets/k8s_hellonode_overview.png | immersion/docker_and_kubernetes/assets/k8s_cluster.png
stas00/ml-engineering,https://github.com/stas00/ml-engineering,17937,Machine Learning Engineering Open Book,15,9,training/model-parallelism/images/parallelism-flexflow.jpeg | training/model-parallelism/images/all-reduce-reduce-scatter-all-gather.png | training/model-parallelism/images/deepspeed-ulysses.png | training/model-parallelism/images/dist-flash-attn.png | training/model-parallelism/images/parallelism-deepspeed-3d.png | training/model-parallelism/images/parallelism-gpipe-bubble.png | training/model-parallelism/images/parallelism-tp-parallel_gemm.png | training/model-parallelism/images/parallelism-tp-parallel_shard_processing.png | training/model-parallelism/images/parallelism-zero-dp-pp.png
kubeflow/trainer,https://github.com/kubeflow/trainer,2099,Distributed AI Model Training and LLM Fine-Tuning on Kubernetes,9,9,docs/proposals/2170-kubeflow-trainer-v2/TrainerPipelineFrameworkOverview.drawio.svg | docs/proposals/2401-llm-trainer-v2/llm-trainer-v2-workflow.png | docs/proposals/2170-kubeflow-trainer-v2/TrainerPipelineFramework.drawio.svg | docs/proposals/2432-gpu-testing-on-llm-blueprints/images/cncf-arc-diagram.png | docs/proposals/2170-kubeflow-trainer-v2/trainjob-diagram.drawio.svg | docs/proposals/2401-llm-trainer-v2/llm-fine-tuning-lifecycle.png | docs/proposals/2401-llm-trainer-v2/llm-lifcycle-torchtune.png | docs/proposals/2170-kubeflow-trainer-v2/runtime-patches.drawio.svg | docs/proposals/2170-kubeflow-trainer-v2/user-roles.drawio.svg
featureform/featureform,https://github.com/featureform/featureform,1977,The Virtual Feature Store. Turn your existing data infrastructure into a feature store.,12,9,docs/images/getting-started/architecture-and-components.png | docs/images/llms-embeddings-and-vector-databases/rag-workflow-explained.png | docs/images/llms-embeddings-and-vector-databases/llm-workflow.png | embeddinghub/docs/assets/embeddinghub_architecture.png | embeddinghub/docs/assets/generated_art_machine_learning_embeddings_architecture.png | docs/images/llm-workflow.png | assets/components.svg | embeddinghub/docs/assets/recommender_system_deep_neural_network_embeddings.png | assets/virtual_arch.png
mlops-guide/mlops-guide.github.io,https://github.com/mlops-guide/mlops-guide.github.io,327,"🛠 MLOps end-to-end guide and tutorial website, using IBM Watson, DVC, CML, Terraform, Github Actions and more.",10,9,docs/MLOps/FeatureStore/FeatureStoreDiagram.png | docs/MLOps/FeatureStore/FeatureStoreOverview.png | docs/assets/DiagramMLOPs.png | docs/MLOps/CICDML/ci-cd.png | docs/MLOps/Data/project-versions.png | docs/assets/Deployment/word_deploy_space_1.1.png | docs/assets/dvc/complete_pipeline.png | docs/assets/dvc/half_pipeline.png | docs/assets/dvc/dvc_diagram.png
dagster-io/dagster,https://github.com/dagster-io/dagster,15524,"An orchestration platform for the development, production, and observation of data assets.",15,8,docs/static/images/examples/reference-architectures/rag.png | docs/static/images/dagster-plus/deployment/hybrid-architecture.png | docs/static/images/examples/reference-architectures/bi.png | docs/static/images/examples/reference-architectures/etl-reverse-etl.png | docs/static/images/examples/reference-architectures/real-time.png | docs/static/images/dagster-plus/deployment/environment-variables/encryption-key-hierarchy.png | docs/static/images/tutorial/dagster-tutorial/overviews/components.png | docs/static/images/dagster-plus/features/branch-deployments/branch-deployments.png
pytorch/pytorch,https://github.com/pytorch/pytorch,99958,Tensors and Dynamic neural networks in Python with strong GPU acceleration,15,8,docs/source/_static/img/rpc_arch.png | docs/source/_static/img/distributed_autograd/distributed_dependencies.png | docs/source/_static/img/distributed_autograd/distributed_dependencies_computed.png | docs/source/_static/img/distributed_autograd/send_recv_functions.png | docs/source/elastic/agent_diagram.jpg | docs/source/elastic/etcd_rdzv_diagram.png | docs/source/_static/img/dynamo/flowchart.jpg | docs/source/_static/img/onnx/onnx_dynamo_mlp_model.png
iusztinpaul/hands-on-llms,https://github.com/iusztinpaul/hands-on-llms,3411,"🦖 𝗟𝗲𝗮𝗿𝗻 about 𝗟𝗟𝗠𝘀, 𝗟𝗟𝗠𝗢𝗽𝘀, and 𝘃𝗲𝗰𝘁𝗼𝗿 𝗗𝗕𝘀 for free by designing, training, and deploying a real-time financial advisor LLM system ~ 𝘴𝘰𝘶𝘳𝘤𝘦 𝘤𝘰𝘥𝘦 + 𝘷𝘪𝘥𝘦𝘰 & 𝘳𝘦𝘢𝘥𝘪𝘯𝘨 𝘮𝘢𝘵𝘦𝘳𝘪𝘢𝘭𝘴",8,8,media/inference_pipeline_architecture.png | media/training_pipeline_architecture.png | media/feature_pipeline_architecture.png | media/architecture.png | media/youtube_thumbnails/04_inference_pipeline.png | media/youtube_thumbnails/01_fine_tuning_pipeline_overview.png | media/youtube_thumbnails/02_fine_tuning_pipeline_hands_on.png | media/youtube_thumbnails/03_real_time_embeddings.png
superlinked/VectorHub,https://github.com/superlinked/VectorHub,520,"VectorHub is a free, open-source learning website for people (software developers to senior ML architects) interested in adding vector retrieval to their ML stack.",15,8,docs/assets/use_cases/movie_recommendation_using_vectordatabase/architecture_recommendation.png | docs/assets/use_cases/hybrid_search_&_rerank_rag/RAGDiagram.png | docs/assets/use_cases/Migrating from Algolia to Superlinked/key_architectural_differences.jpg | docs/assets/use_cases/custom_retriever_with_llamaindex/custom_retriever_architecture.png | docs/assets/use_cases/vector_search_based_recommender_system/image3.png | docs/assets/use_cases/retrieval_augmented_generation_eval/rag_diagram.jpg | docs/assets/use_cases/social_media_retrieval/social_media_retrieval_system_architecture.png | docs/assets/use_cases/hybrid_search_&_rerank_rag/HybridSearch.png
google-ai-edge/LiteRT,https://github.com/google-ai-edge/LiteRT,2412,"LiteRT, successor to TensorFlow Lite. is Google's On-device framework for high-performance ML & GenAI deployment on edge platforms, via efficient conversion, runtime, and optimization",13,8,tflite/g3doc/images/convert/convert_workflow_diag.png | tflite/g3doc/images/convert/workflow.svg | tflite/g3doc/r1/images/convert/workflow.svg | tflite/g3doc/examples/auto_complete/images/tflite_workflow.png | tflite/g3doc/inference_with_metadata/task_library/images/android_task_api.svg | tflite/g3doc/inference_with_metadata/task_library/images/ios_task_api.svg | tflite/g3doc/inference_with_metadata/task_library/images/native_task_api.svg | tflite/g3doc/images/convert/model_with_metadata.png
kedro-org/kedro,https://github.com/kedro-org/kedro,10863,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",15,7,docs/meta/images/KedroArchitecture.drawio | docs/meta/images/kedro_architecture.jpg | docs/assets/workflow_view.png | docs/meta/images/spark_delta_workflow.png | docs/meta/images/astronomer_cloud_deployment.png | docs/meta/images/pipeline_visualisation.png | docs/meta/images/pipeline_visualisation_iris_starter.png
aws-samples/mlops-amazon-sagemaker,https://github.com/aws-samples/mlops-amazon-sagemaker,326,Workshop content for applying DevOps practices to Machine Learning workloads using Amazon SageMaker,15,7,images/bia-architecture.png | mlops-roadshow/images/arch.drawio | mlops-roadshow/images/arch.png | mlops-roadshow/images/pipelines-view.png | mlops-roadshow/images/sagemaker-pipelines-dag.png | 3-Built-In-Algorithm-Cross-Acccount/images/MLOps_CrossAccount_Architecture.jpg | images/MLOps-Workshop-01Project.png
pytorch/serve,https://github.com/pytorch/serve,4358,"Serve, optimize and scale PyTorch models in production",15,7,examples/image_classifier/near_real_time_video/architecture/cv_pipeline.png | examples/usecases/llm_diffusion_serving_app/docker/img/workflow-1.png | examples/usecases/llm_diffusion_serving_app/docker/img/workflow-2.png | examples/usecases/RAG_based_LLM_serving/assets/llm_ep.png | examples/usecases/RAG_based_LLM_serving/assets/rag_llm.png | examples/image_classifier/near_real_time_video/architecture/arch.png | docs/images/plugins_sdk_class_diagram.png
vllm-project/vllm,https://github.com/vllm-project/vllm,80245,A high-throughput and memory-efficient inference and serving engine for LLMs,15,7,docs/assets/design/arch_overview/v1_process_architecture_tp2_dp4.png | docs/assets/design/arch_overview/v1_process_architecture_tp4.png | docs/assets/deployment/architecture_helm_deployment.png | docs/assets/design/arch_overview/llm_engine.excalidraw.png | docs/assets/design/arch_overview/entrypoints.excalidraw.png | vllm/distributed/kv_transfer/disagg_prefill_workflow.jpg | docs/assets/design/debug_vllm_compile/design_diagram.png
tensorflow/tflite-micro,https://github.com/tensorflow/tflite-micro,2901,Infrastructure to enable deployment of ML models to low-power resource-constrained embedded targets (including microcontrollers and digital signal processors).,11,7,tensorflow/lite/micro/docs/images/preallocated_tensors/preallocated_tensors_bg_1.png | tensorflow/lite/micro/docs/images/preallocated_tensors/preallocated_tensors_bg_2.png | tensorflow/lite/micro/docs/images/preallocated_tensors/preallocated_tensors_impl1.png | tensorflow/lite/micro/examples/memory_footprint/images/tflm_code_size_category.png | tensorflow/lite/micro/examples/micro_speech/images/micro_speech_quantized.png | third_party/xtensa/examples/micro_speech_lstm/images/lstm_model.png | third_party/xtensa/examples/pytorch_to_tflite/images/qat_model.png
databricks/mlops-stacks,https://github.com/databricks/mlops-stacks,680,This repo provides a customizable stack for starting new ML projects on Databricks that follow production best-practices out of the box.,7,7,doc-images/mlops-stack-deploy.png | doc-images/mlops-stack-dev.png | doc-images/mlops-stack-pr.png | doc-images/mlops-stack-summary.png | doc-images/mlops-stacks.png | template/{{.input_root_dir}}/docs/images/mlops-stack-deploy.png | template/{{.input_root_dir}}/docs/images/mlops-stack-summary.png
NirDiamant/agents-towards-production,https://github.com/NirDiamant/agents-towards-production,19772,"End-to-end, code-first tutorials for building production-grade GenAI agents. From prototype to enterprise deployment.",8,7,assets/repos_images/ai_architecture_diagram.svg | tutorials/kotlin-agent-with-koog/assets/architecture-diagram.png | tutorials/agent-memory-with-mem0/Assets/mem0_add_architecture.jpg | tutorials/agent-memory-with-mem0/Assets/mem0_architecture.png | tutorials/agent-memory-with-mem0/Assets/mem0_search_architecture.jpg | tutorials/agent-with-mcp/assets/mcp_architecture.png | tutorials/aws_agentcore/assets/agentcore-diagram.png
lance-format/lance,https://github.com/lance-format/lance,6435,"Open Lakehouse Format for Multimodal AI. Convert from Parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, and PyTorch with more integrations coming..",9,7,docs/src/images/file_high_level_overview.png | docs/src/images/distributed_append.png | docs/src/images/file_overview.png | docs/src/images/fragment_structure.png | docs/src/images/mem_wal_overview.png | docs/src/images/table_overview.png | docs/src/images/conflict_resolution_flow.png
deepchecks/deepchecks,https://github.com/deepchecks/deepchecks,4015,"Deepchecks: Tests for Continuous Validation of ML Models & Data. Deepchecks is a holistic open-source solution for all of your AI & ML validation needs, enabling to thoroughly test your data and models from research to production.",8,7,docs/source/_static/images/general/pipeline_when_to_validate.svg | docs/source/_static/images/welcome/testing_phases_in_pipeline_with_tiles.png | docs/source/_static/images/general/diagram.svg | docs/source/_static/images/cicd/airflow.png | docs/source/_static/images/integrations/airflow_dag.png | docs/source/_static/images/readme/deepchecks_continuous_validation_dark.png | docs/source/_static/images/readme/deepchecks_continuous_validation_light.png
mlcommons/ck,https://github.com/mlcommons/ck,646,"Collective Knowledge (CK), Collective Mind (CM/CMX) and MLPerf automations: community-driven projects to facilitate collaborative and reproducible research and to learn how to run AI, ML, and other emerging workloads more efficiently and cost-effectively across diverse models, datasets, software, and hardware using MLPerf methodology and benchmarks",15,7,cm-mlops/automation/script/assets/scripts-workflow.png | cm4mlops/cm4mlops/repo/automation/script/assets/scripts-workflow.png | cmx/architecture-4.0.0.png | ck/ck/repo/module/experiment.tune.compiler.flags/images/image-workflow.png | ck/ck/repo/module/experiment.tune.compiler.flags/images/image-workflow1.png | ck/ck/repo/module/program.optimization/images/image-workflow.png | ck/ck/repo/module/program.optimization/images/image-workflow1.png
raminmohammadi/MLOps,https://github.com/raminmohammadi/MLOps,284,Machine Learning In Production (MLOps),15,7,Labs/GCP_Labs/Kubernetes/assets/containers-vs-virtual-machine-architectures.png | Labs/GCP_Labs/Kubernetes/KServe_Labs/Lab 3 - Deployment of first model/assets/model_deployment.png | Labs/Tensorflow_Labs/TFX_Labs/TFX_Lab1/feature_eng_pipeline.png | Labs/MLMD_Labs/Lab1/img/mlmd_overview.png | Labs/MLMD_Labs/assets/mlmd_overview.png | Reading Materials/Session 1 - Introduction/GCP_MLops.max-1800x1800.jpg | Labs/Airflow_Labs/assets/Airflow.png
Azure/intelligent-app-workshop,https://github.com/Azure/intelligent-app-workshop,204,"Immersive workshop showcasing the remarkable potential of integrating SoTA foundation models to enhance product experiences and streamline backend workflows. Leverages Microsoft's Copilot stack, Microsoft Agent Framework and Azure primitives to offer an engaging and comprehensive introduction to AI-infused app development and deployment",10,7,docs/assets/images/wip-architecture.png | docs/wksp/05-agent-framework-workshop/images/architecture.png | docs/assets/images/basic-arch.png | docs/assets/images/agents-block-diagram.png | docs/assets/images/sk-memory-orchestration.png | docs/assets/images/embeddings.png | docs/assets/images/prompt-flow-basic.png
serodriguez68/designing-ml-systems-summary,https://github.com/serodriguez68/designing-ml-systems-summary,197,"A detailed summary of ""Designing Machine Learning Systems"" by Chip Huyen. This book gives you and end-to-end view of all the steps required to build AND OPERATE ML products in production. It is a must-read for ML practitioners and Software Engineers Transitioning into ML.",15,7,07-model-deployment-and-prediction-service.assets/architecture-for-online-prediction-with-batch-and-streaming-features.png | README.assets/components-of-an-ml-system.png | 06-model-development-and-offline-evaluation.assets/pipeline-parallelism.png | 03-data-engineering-fundamentals.assets/data-science-hierarchy-of-needs.png | 10-infrastructure-and-tooling-for-ml-ops.assets/layers-of-ml-infrastructure.png | 08-data-distribution-shifts-and monitoring-in-production.assets/ml-metrics-tradeoffs.png | 09-continual-learning-and-test-in-production.assets/stateless-retraining-vs-stateful-training.png
aws-samples/sagemaker-custom-project-templates,https://github.com/aws-samples/sagemaker-custom-project-templates,233,This repository contains guidance related to SageMaker AI Projects. SageMaker Projects help organizations set up and standardize developer environments for data scientists and CI/CD systems for MLOps engineers.,15,6,multi-model-trainining-batch-inference-pipeline/images/Architecture.png | mlops-cdk-github-action/diagrams/github_action_mlops_architecture.jpg | multi-branch-mlops-train/images/codepipeline-codecommit-arch-train-complete.png | sm-project-tf-github/images/architecture-diagram.png | sm-project-tf-gitlab/images/architecture-diagram.png | api-gateway-serverless/images/api-gateway-serverless-architecture.svg
deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed,42348,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",15,6,blogs/intel-inference/assets/software-arch.png | blogs/deepcompile/media/workflow.png | blogs/deepspeed-zenflow/images/zenflow-workflow.png | blogs/deepspeed-fastgen/assets/images/fastgen-arch-dark.png | blogs/deepspeed-fastgen/assets/images/fastgen-arch-light.png | docs/assets/images/inference-gemm-scheduling.png
Azure/MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,4394,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft,13,6,how-to-use-azureml/automated-machine-learning/forecasting-many-models/images/mmsa-overview.png | how-to-use-azureml/automated-machine-learning/forecasting-many-models/images/Flow_map.png | how-to-use-azureml/explain-model/azure-integration/remote-explanation/img/AzureMachineLearningCycle.png | how-to-use-azureml/explain-model/azure-integration/remote-explanation/img/explanations-run-history.png | how-to-use-azureml/explain-model/azure-integration/scoring-time/img/azure-machine-learning-cycle.png | how-to-use-azureml/machine-learning-pipelines/aml-pipelines-concept.png
decodingai-magazine/second-brain-ai-assistant-course,https://github.com/decodingai-magazine/second-brain-ai-assistant-course,2733,"Learn to build your Second Brain AI assistant with LLMs, agents, RAG, fine-tuning, LLMOps and AI systems techniques.",6,6,static/rag_feature_pipeline_architecture.png | static/training_pipeline_architecture.png | static/data_pipeline_architecture.png | static/dataset_generation_pipeline_architecture.png | static/agentic_rag_architecture.png | static/system_architecture.png
SeldonIO/tempo,https://github.com/SeldonIO/tempo,122,MLOps Python Library,6,6,docs/examples/metaflow/architecture.png | docs/examples/multi-model/architecture.png | docs/examples/explainer/architecture.png | docs/examples/outlier/architecture.png | docs/assets/model-pipeline.png | docs/assets/tempo-overview.png
dotnet/machinelearning-samples,https://github.com/dotnet/machinelearning-samples,4683,"Samples for ML.NET, an open source and cross-platform machine learning framework for .NET.",15,6,samples/csharp/end-to-end-apps/DeepLearning_ImageClassification_TF/docs/scenario-architecture.png | samples/csharp/end-to-end-apps/ScalableSentimentAnalysisBlazorWebApp/Images/blazor-app-architecture.png | samples/csharp/end-to-end-apps/Forecasting-Sales/docs/images/modelpipeline.png | samples/csharp/end-to-end-apps/ObjectDetection-Onnx/docs/Netron/TinyYolo2_model_onnx.png | samples/csharp/getting-started/shared_content/modelpipeline.png | samples/fsharp/getting-started/shared_content/modelpipeline.png
kserve/kserve,https://github.com/kserve/kserve,5483,"Standardized Distributed Generative and Predictive AI Inference Platform for Scalable, Multi-Framework Deployment on Kubernetes",15,5,docs/samples/drift-detection/alibi-detect/cifar10/architecture.png | docs/samples/outlier-detection/alibi-detect/cifar10/architecture.png | docs/samples/pipelines/images/kfserving-mnist-pipeline.png | docs/diagrams/kfs_architect.drawio | docs/diagrams/kfs_architect.png
microsoft/nni,https://github.com/microsoft/nni,14354,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.",15,5,docs/img/kubeflow_training_design.png | docs/img/nni_arch_overview.png | docs/img/compression_pipeline.png | docs/img/experiment_arch.png | docs/img/highlevelarchi.png
Azure/mlops-v2,https://github.com/Azure/mlops-v2,630,Azure MLOps (v2) solution accelerators. Enterprise ready templates to deploy your machine learning models on the Azure Platform. ,9,5,documentation/architecture/media/AzureML_CML_Architecture.png | documentation/architecture/media/AzureML_NLP_Classification_Architecture.png | documentation/architecture/media/AzureML_SupervisedCV_Architecture.png | documentation/structure/media/repository_arch.png | documentation/deployguides/images/gh-training-pipeline.png
aws-samples/amazon-sagemaker-mlops-workshop,https://github.com/aws-samples/amazon-sagemaker-mlops-workshop,113,MLOps workshop with Amazon SageMaker,9,5,labs/03_workflow_sm_pipelines/img/pipeline-training-logs.jpg | labs/03_workflow_sm_pipelines/img/pipeline-execution-graph.jpg | labs/03_workflow_sm_pipelines/img/pipelines_execution_3.png | labs/03_workflow_sm_pipelines/img/pipelines_execution_4.png | images/sagemaker_pipelines_intro.png
graviraja/MLOps-Basics,https://github.com/graviraja/MLOps-Basics,8868,,5,5,images/basic_flow.png | images/docker_flow.png | images/ecr_flow.png | images/kibana_flow.png | images/lambda_flow.png
apache/burr,https://github.com/apache/burr,2005,"Build applications that make decisions (chatbots, agents, simulations, etc...). Monitor, trace, persist, and execute on your own infrastructure.",5,5,burr/tracking/server/s3/architecture.png | docs/examples/agents/_agent_patterns/hierarchical_agent_teams.png | docs/examples/data-science/_ml_training.png | examples/deep-researcher/statemachine.png | examples/templates/hierarchical_agent_teams.png
MLReef/mlreef,https://github.com/MLReef/mlreef,1460,The collaboration workspace for Machine Learning,15,5,docs/content/0-general/0-concepts/0-mlops/mlops_overview.png | docs/content/data_processing_workflow.png | docs/content/99-development/infrastructure.png | web/public/images/svg/PipelineStep01.svg | web/src/images/PipelineStep01.svg
decodingai-magazine/personalized-recommender-course,https://github.com/decodingai-magazine/personalized-recommender-course,645,"👕 Open-source course on architecting, building and deploying a real-time personalized recommender for H&M fashion articles.",6,5,assets/system_architecture.png | assets/4_stage_recommender_architecture.png | assets/github_actions_pipeline_done.png | assets/github_actions_pipeline_progress.png | assets/two_tower_embedding_model.png
ocademy-ai/machine-learning,https://github.com/ocademy-ai/machine-learning,230,"Learn AI together, for free. AI learning and teaching resources for everyone.",15,5,images/aws-serverless-data-lake-centric-analytics-architecture.jpeg | images/death-forecasting-model-overview.png | images/aws-serverless-data-analytics-pipeline.jpeg | images/big-data-pipelines-on-aws-azure-gcp.png | images/data-pipeline-patterns.png
exospherehost/runtime,https://github.com/exospherehost/runtime,195,"Runtime for building and managing AI agents and Workflows. Easy to learn, fast to build, High Performance, Reliable by design, Intuitive UI, Production Ready.",7,5,assets/exosphere-components.png | assets/workflow-run.png | assets/example-workflow.png | docs/docs/assets/arch.png | docs/docs/assets/example-workflow.png
caraml-dev/merlin,https://github.com/caraml-dev/merlin,184,"Kubernetes-friendly ML model management, deployment, and serving.",15,5,docs/diagrams/model_deployment_serving.drawio.svg | docs/diagrams/model_observability.drawio.svg | docs/diagrams/user_flow.drawio.svg | scripts/e2e/docs/E2E_arch.png | docs/diagrams/prediction_job_lifecycle.drawio.svg
mlops-for-all/mlops-for-all.github.io,https://github.com/mlops-for-all/mlops-for-all.github.io,182,,15,5,docs/introduction/img/mlops-component.png | i18n/en/docusaurus-plugin-content-docs/current/introduction/img/mlops-component.png | i18n/en/docusaurus-plugin-content-docs/version-1.0/introduction/img/mlops-component.png | versioned_docs/version-1.0/introduction/img/mlops-component.png | docs/api-deployment/img/children-kubeflow.png
